 L.A. County rental listings 6-16-2025,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
SB25138408MR,Apartment,101,101   Dudley Ave #B,VENICE,90291,0,0.00 (0 0 0 0),,$0.00,,"$2,498","$2,498","$2,498",200,$12.49,1914,0,Community,,"1-Year,Month-to-Month,Other",Unfurnished,818-730-2985,"6,098"
SR25140595MR,Apartment,4448,4448  W 64th ST ,INGLEWOOD,90302,2,2.00 (2 0 0 0),,$0.00,25,"$2,500","$2,500","$2,500",850,$2.94,1923,1,None,No,1-Year,Unfurnished,818-231-6976,"8,148"
SR25139480MR,,9221,9221   Swinton Ave ,NORTH HILLS,91343,1,1.00 (1 0 0 0),,$500.00,,"$2,500","$2,300","$2,500",500,$5,1956,1,"Laundry Closet Stacked,Outside,Stackable W/D Hookup",,"1-Year,Negotiable,Other",Furnished,626-675-7438,"8,132"
SR25139327MR,Condominium,4501,4501   Cedros AVE #224,SHERMAN OAKS,91403,1,1.00 (1 0 0 0),,$0.00,,"$2,500","$2,500","$2,500",848,$2.95,1971,1,"Dryer,Dryer Included,Washer,Washer Included",,1-Year,Unfurnished,818-481-1602,"83,232"
SR25138050MR,,20751,20751   Parthenia ST ,WINNETKA,91306,2,1.00 (0 1 0 0),,$500.00,,"$2,500","$2,500","$2,500",469,$5.33,1936,2,Laundry Area,,1-Year,Unfurnished,818-967-9626,"1,000"
TR25140193MR,Apartment,420,420  E Broadway  ,SAN GABRIEL,91776,3,1.00 (1 0 0 0),300,$500.00,200,"$2,500","$2,500","$2,500",800,$3.13,1943,0,Laundry Area,,1-Year,Unfurnished,,"10,008"
TR25138028MR,Apartment,777,777  E VALLEY BLVD #17,ALHAMBRA,91801,2,2.00 (1 0 1 0),,$0.00,,"$2,500","$2,500","$2,500","1,123",$2.23,1963,1,Community,No,1-Year,Furnished,,"1,500"
TR25138328MR,Single Family,1580,1580  N Orange Grove AVE ,POMONA,91767,2,1.00 (1 0 0 0),,$0.00,,"$2,500","$2,500","$2,500",900,$2.78,1933,2,Gas Or Electric Dryer Hookup,No,1-Year,Unfurnished,714 631-3858,"3,000"
DW25140633MR,Single Family,4235,4235   Addington St ,COMPTON,90221,2,1.00 (1 0 0 0),,$0.00,,"$2,500","$2,500","$2,500",800,$3.13,2025,0,Inside,No,1-Year,Unfurnished,562-843-6031,"5,871"
CV25138519MR,Single Family,13186,13186   Herron ST ,SYLMAR,91342,2,1.00 (1 0 0 0),,$350.00,,"$2,500","$2,500","$2,500",587,$4.26,2024,1,Gas Or Electric Dryer Hookup,,1-Year,Furnished,,"7,927"
DW25138817MR,Single Family,509,509   La Seda RD ,LA PUENTE,91744,2,1.00 (1 0 0 0),,$0.00,,"$2,500","$1,500","$2,500",854,$2.93,1958,0,Other,,"1-Year,Month-to-Month,Negotiable",Unfurnished,562-457-9490,"6,172"
NP25139967MR,Condominium,4733,4733   Elmwood AVE ,LOS ANGELES,90004,2,2.00 (2 0 0 0),,$0.00,,"$2,500",$0,"$2,500","1,130",$2.21,2008,2,"Dryer,Dryer Included,Washer,Washer Included",,"1-Year,Other",Unfurnished,916-916-9903,"7,252"
25555261,,8555,8555   Sunset BLVD ,LOS ANGELES,90069,0,1.00 (1 0 0 0),,,,"$2,500","$5,000","$2,500",500,$5,1978,0,Community,Call,"1+Year,1-Year,Negotiable,Other",Furnished,310-808-3488,"7,732"
25555231,,10039,10039   Haines Canyon Ave #D,Tujunga,91042,2,1.00 (1 0 0 0),,,,"$2,500","$2,500","$2,500",850,$2.94,1957,0,"Laundry Area,Outside",Yes,1+Year,Unfurnished,818-967-6311,"17,018"
25555003,,1108,1108  S Sherbourne Dr #1,Los Angeles,90035,1,1.00 (1 0 0 0),,,,"$2,500","$2,500","$2,500",800,$3.13,1955,2,"Community,Laundry Area",Yes,"1+Year,1-Year,12 Months",Unfurnished,310-405-9500,"6,400"
25554953,Apartment,1439,1439   Rexford Dr #4,Los Angeles,90035,1,1.00 (1 0 0 0),,,,"$2,500","$2,300","$2,500",800,$3.13,1958,1,Community,No,1+Year,Unfurnished,424-599-2859,"6,500"
25554627,,12205,12205   GORHAM AVE ,LOS ANGELES,90049,0,1.00 (1 0 0 0),2500,,,"$2,500","$2,500","$2,500",550,$4.55,1964,0,Community,Yes,1+Year,Unfurnished,310-497-3761,"9,688"
25553875,,8642,8642   Baring Cross St ,Los Angeles,90044,2,1.00 (1 0 0 0),,,,"$2,500","$2,500","$2,500",800,$3.13,2025,0,"Inside,In Unit",No,"1+Year,1-Year",Unfurnished,310-590-9808,"6,007"
25551605,,11749,11749   Riverside Dr #6,Valley Village,91607,2,1.00 (1 0 0 0),,,,"$2,600","$2,550","$2,550",850,$3,1957,1,In Unit,Yes,1-Year,Unfurnished,310-666-9682,"6,502"
25555737,,11749,11749   Riverside Dr #3,Valley Village,91607,2,1.00 (1 0 0 0),,,,"$2,550","$2,550","$2,550",850,$3,1957,2,In Unit,Yes,1-Year,Unfurnished,310-666-9682,"6,502"
25544485,,3815,3815  W 57th St ,Los Angeles,90043,2,1.00 (1 0 0 0),,,,"$2,575","$2,575","$2,575",,$0,,1,In Unit,Yes,1-Year,Unfurnished,310-739-6884,"7,687"
25554805,,1920,1920   Overland Ave #101,Los Angeles,90025,1,1.00 (1 0 0 0),,,,"$2,595","$2,595","$2,595",650,$3.99,1987,1,In Unit,Yes,1-Year,Unfurnished,310-473-3000,"6,106"
25556285,,11445,11445   RIVERSIDE DR #106,NORTH HOLLYWOOD,91602,1,1.00 (1 0 0 0),,,,"$2,595","$1,500","$2,595",700,$3.71,2021,1,In Unit,Call,1+Year,Unfurnished,833-525-3273,"5,875"
DW25137466MR,Townhouse,254,254  W Grove ST #4,POMONA,91767,2,1.00 (1 0 0 0),,$500.00,50,"$2,595","$2,600","$2,595","1,100",$2.36,1979,3,Garage,,1-Year,Unfurnished,562-481-7868,"90,369"
25555645,,11950,11950   Erwin Street St #B-612,North Hollywood,91606,0,1.00 (1 0 0 0),,,,"$2,599",$750,"$2,599",536,$4.85,,0,In Unit,Call,1+Year,Unfurnished,833-525-3273,"86,735"
25554323,Condominium,777,777  S Citrus Ave #107,Azusa,91702,2,2.00 (2 0 0 0),,,,"$2,999","$2,999","$2,599",994,$2.61,1984,0,Laundry Area,Call,1+Year,Unfurnished,310-916-3648,"23,100"
SR25136088MR,Single Family,22132,22132   Gault ST ,CANOGA PARK,91303,1,1.00 (1 0 0 0),,$500.00,,"$2,599","$2,850","$2,599",500,$5.20,2025,0,"In Closet,Inside",,1-Year,Unfurnished,424-653-0560,"7,441"
SB25136415MR,Apartment,1231,1231  S Mariposa AVE ,LOS ANGELES,90006,2,1.00 (1 0 0 0),,$500.00,,"$2,600","$2,600","$2,600","1,060",$2.45,1924,1,Inside,,1-Year,Unfurnished,310-989-3646,"5,907"
SB25136423MR,,2511,2511   Walnut Grove Ave ,ROSEMEAD,91770,2,1.00 (1 0 0 0),,$500.00,200,"$2,600","$4,000","$2,600",950,$2.74,1954,0,"Gas Dryer Hookup,Room,Washer Hookup",No,1-Year,Unfurnished,310 707-3600,"5,732"
P1-22862PF,,13521,13521 1/2  Hamlin ST ,LOS ANGELES,91401,2,1.00 (1 0 0 0),,$300.00,,"$2,600","$2,600","$2,600",700,$3.71,2020,0,"In Kitchen,Laundry Closet Stacked,Stackable W/D Hookup",,1-Year,Unfurnished,,"6,749"
25555431,Apartment,14108,14108   Doty Ave #2,Hawthorne,90250,2,2.00 (2 0 0 0),,,,"$2,600","$2,600","$2,600",800,$3.25,1971,1,"Laundry Area,Community",Yes,12 Months,Unfurnished,310-844-4812,"19,231"
25556001,,1513,1513  W 58th Pl ,Los Angeles,90047,2,2.00 (2 0 0 0),,,,"$2,600","$5,200","$2,600",600,$4.33,1924,0,Outside,Yes,1+Year,Unfurnished,310-908-4277,"4,817"
GD25136713IT,Apartment,6716,6716   Sylmar AVE #204,VAN NUYS,91405,2,2.00 (2 0 0 0),,$0.00,,"$2,600","$2,600","$2,600",833,$3.12,1984,0,Community,No,1-Year,Unfurnished,818-437-2433,"10,783"
GD25136720IT,Apartment,6716,6716   Sylmar AVE #201,VAN NUYS,91405,2,2.00 (2 0 0 0),,$0.00,,"$2,600","$2,600","$2,600",833,$3.12,1984,0,Community,No,1-Year,Unfurnished,818-437-2433,"10,783"
PF25136688PF,Condominium,9014,9014   Burnet AVE #109,NORTH HILLS,91343,2,2.00 (2 0 0 0),,$500.00,,"$2,600","$1,500","$2,600",858,$3.03,1991,2,Community,,1-Year,Unfurnished,310-346-9290,"24,228"
25554795,,10965,10965   Rochester Ave #303,Los Angeles,90024,1,1.00 (1 0 0 0),,,,"$2,650","$2,495","$2,650",600,$4.42,1971,1,In Unit,Yes,1-Year,Unfurnished,310-473-3000,"7,650"
PW25139837MR,,1009,1009   Coronado AVE #2,LONG BEACH,90804,2,1.00 (0 1 0 0),,$300.00,100,"$2,650","$2,650","$2,650","1,200",$2.21,1928,0,"Gas Dryer Hookup,Room,Washer Hookup",,1-Year,Unfurnished,,"5,501"
PW25139070MR,Condominium,1048,1048  S Idaho ST ,LA HABRA,90631,2,2.00 (2 0 0 0),,$0.00,100,"$2,650","$2,650","$2,650",886,$2.99,1980,2,"Community,Laundry Area",No,"1-Year,Negotiable",Unfurnished,213-785-1004,0
SR25136891MR,Condominium,21305,21305   Nandina LN #201,NEWHALL,91321,2,2.00 (2 0 0 0),,$250.00,500,"$2,650","$2,150","$2,650",819,$3.24,1990,2,In Closet,,1-Year,Unfurnished,661-618-6252,"454,152"
SR25137048MR,Apartment,1214,1214  E Broadway  #C,GLENDALE,91205,2,1.00 (1 0 0 0),,$0.00,,"$2,650","$2,650","$2,650",900,$2.94,1948,2,"Gas Dryer Hookup,Washer Hookup",,1-Year,Unfurnished,626-243-3645,"6,488"
25556143,,245,245   PINE AVE #220,LONG BEACH,90802,1,1.00 (1 0 0 0),,,,"$2,659",$500,"$2,659",662,$4.02,1992,0,In Unit,Call,1+Year,Unfurnished,833-525-3273,"88,438"
SB25138961MR,Apartment,511,511  S Harbor  #421,SAN PEDRO,90731,1,1.00 (1 0 0 0),,$500.00,,"$2,665",$750,"$2,665",650,$4.10,2024,0,"Dryer,Dryer Included,Washer,Washer Included",,1-Year,Unfurnished,909-289-2693,"33,105"
25555777,,555,555  N Spring ST #B671,LOS ANGELES,90012,1,1.00 (1 0 0 0),,,,"$2,673",$250,"$2,673",666,$4.01,2018,0,In Unit,Call,1+Year,Unfurnished,833-525-3273,0
25556157,,1854,1854   Pine Ave #8,Long Beach,90806,3,1.00 (1 0 0 0),,,,"$2,695","$2,695","$2,695","1,050",$2.57,1959,1,Community,Yes,1+Year,Unfurnished,310-922-6691,"6,747"
25554421,,1307,1307   Innes Pl #C,Venice,90291,1,1.00 (1 0 0 0),,,,"$2,695","$2,695","$2,695",650,$4.15,1910,1,Community,Call,1+Year,Unfurnished,310-804-6655,"2,400"
25553041,Combo - Res & Com,914,914  N Fairfax Ave #202,West Hollywood,90046,1,1.00 (0 1 0 0),,,,"$2,700","$3,700","$2,700",800,$3.38,1952,0,"Laundry Closet Stacked,In Unit",Call,1+Year,Unfurnished,310-696-1319,"3,255"
AR25137836MR,,224,224 1/2 W Cypress Ave ,MONROVIA,91016,2,1.00 (1 0 0 0),,$600.00,,"$2,700","$3,000","$2,700",750,$3.60,1946,0,"Gas Dryer Hookup,Washer Hookup",,1-Year,Unfurnished,626-393-5695,"9,867"
AR25139473MR,,2809,2809  W Ramona RD #3,ALHAMBRA,91803,2,1.00 (1 0 0 0),,$300.00,30,"$2,700","$2,700","$2,700",775,$3.48,1964,4,Laundry Area,No,1-Year,Unfurnished,213-219-8187,"6,467"
SR25139975MR,Single Family,4539,4539  W Avenue M8  ,QUARTZ HILL,93536,4,3.00 (3 0 0 0),,$500.00,,"$2,700","$3,500","$2,700","2,324",$1.16,1976,4,"Gas Or Electric Dryer Hookup,Inside",,"1+Year,1-Year",Unfurnished,818-321-2727,"12,056"
25555619,,11950,11950   Erwin Street St #B-201,North Hollywood,91606,1,1.00 (1 0 0 0),,,,"$2,735",$750,"$2,735",697,$3.92,,0,In Unit,Call,1+Year,Unfurnished,833-525-3273,"86,735"
25555783,,2621,2621   Wellington Rd ,Los Angeles,90016,8,4.00 (4 0 0 0),,,,"$2,750","$2,750","$2,750","5,016",$0.55,,0,Inside,Call,1+Year,Unfurnished,310-200-4111,"6,520"
WS25139655MR,Single Family,1358,1358   San Marino AVE ,SAN MARINO,91108,1,1.00 (0 1 0 0),,$0.00,,"$2,780","$6,000","$2,780","1,000",$2.78,1952,0,Gas Dryer Hookup,No,1-Year,Unfurnished,,"12,336"
SR25139320MR,Townhouse,1620,1620  N San Fernando BLVD #13,BURBANK,91504,2,2.00 (2 0 0 0),,$500.00,,"$2,785","$2,780","$2,785",980,$2.84,1964,1,"In Kitchen,Laundry Closet Stacked,Stackable W/D Hookup",,1-Year,Unfurnished,818-613-2465,"74,163"
25554053,,8519,8519   Hargis St ,Los Angeles,90034,1,1.00 (0 1 0 0),,,,"$2,795","$2,795","$2,795",,$0,1952,0,In Unit,Yes,1-Year,Unfurnished,310-923-1732,"5,012"
SR25137400MR,,10556,10556   Laurel Canyon BLVD ,PACOIMA,91331,2,2.00 (2 0 0 0),,$0.00,,"$2,799","$2,799","$2,799",750,$3.73,2025,0,None,No,1-Year,Unfurnished,818-744-9275,"8,108"
SW25139617MR,Combo - Res &amp; Com,217,217  W Avenue 37  #2,CYPRESS PARK,90065,2,1.00 (1 0 0 0),50,$0.00,100,"$2,800","$2,800","$2,800",749,$3.74,2020,0,None,No,Negotiable,Unfurnished,951-642-8056,"7,471"
WS25136251MR,Townhouse,23405,23405   Maribel  ,CARSON,90745,2,2.00 (1 0 1 0),500,$0.00,50,"$2,800","$2,800","$2,800",736,$3.80,1944,2,"Dryer,Dryer Included,Inside,Laundry Closet Stacked,Stackable W/D Hookup,Washer,Washer Included",No,1-Year,Unfurnished,626-297-5027,"462,652"
WS25138972MR,,6010,6010   Hart AVE ,TEMPLE CITY,91780,2,1.00 (1 0 0 0),,$0.00,,"$2,650","$1,650","$2,800","2,213",$1.27,1936,2,"Gas Dryer Hookup,Washer Hookup",No,1-Year,Unfurnished,,"14,562"
OC25138568MR,Single Family,1736,1736   Eudora  ,WILMINGTON,90744,2,2.00 (2 0 0 0),,$0.00,,"$2,800","$2,800","$2,800",747,$3.75,2023,0,"Gas Dryer Hookup,In Closet,Inside,Room,Washer Hookup",No,1-Year,Unfurnished,562-308-6266,"4,989"
DW25138242MR,Single Family,7044,7044   Pierce AVE ,WHITTIER,90602,2,1.00 (1 0 0 0),,$0.00,25,"$2,800","$2,800","$2,800","1,089",$2.57,1926,0,"Gas Or Electric Dryer Hookup,Washer Hookup",No,"1-Year,Negotiable",Unfurnished,323-385-5613,"6,302"
25555641,,11950,11950   Erwin Street St #B-462,North Hollywood,91606,1,1.00 (1 0 0 0),,,,"$2,817",$750,"$2,817",664,$4.24,,0,In Unit,Call,1+Year,Unfurnished,833-525-3273,"86,735"
25555753,Apartment,2801,2801   Sunset PL #249,Los Angeles,90005,1,1.00 (1 0 0 0),,,,"$2,830","$1,000","$2,830",763,$3.71,2021,0,In Unit,Call,1+Year,Unfurnished,833-525-3273,0
25556221,,2360,2360   Kerwood Ave #1,Los Angeles,90064,1,1.00 (1 0 0 0),,,,"$2,850","$2,850","$2,850",850,$3.35,1937,2,"In Unit,Laundry Area",Yes,1+Year,Unfurnished,310-975-9916,"6,891"
DW25137489MR,Apartment,1535,1535  S Ogden DR ,LOS ANGELES,90019,1,1.00 (1 0 0 0),,$800.00,,"$2,850","$2,850","$2,850",400,$7.13,1924,0,Inside,,"Month-to-Month,Other",Furnished,213-400-0002,"6,887"
GD25135604IT,Single Family,1269,1269   Alameda AVE #A,GLENDALE,91201,1,1.00 (1 0 0 0),,$0.00,,"$2,850","$2,850","$2,850",650,$4.38,1933,0,"In Closet,Laundry Closet Stacked,Stackable W/D Hookup",,1-Year,Unfurnished,818-259-1046,"4,893"
P1-22857PF,,6706,6706   Riverton AVE ,NORTH HOLLYWOOD,91606,2,1.00 (1 0 0 0),50,$500.00,50,"$2,850","$2,850","$2,850",825,$3.45,2025,2,In Closet,,"1-Year,Negotiable",Unfurnished,(626) 399-6622,"6,258"
SB25138499MR,Condominium,746,746  N Eucalyptus AVE #16,INGLEWOOD,90302,2,2.00 (2 0 0 0),,$0.00,,"$2,850","$2,850","$2,850","1,163",$2.45,1981,2,"Dryer,Dryer Included,In Closet,Washer,Washer Included",,1-Year,Unfurnished,310-897-9867,"24,728"
SB25140222MR,Apartment,523,523  W 12th ST ,SAN PEDRO,90731,2,2.00 (2 0 0 0),,$500.00,,"$2,850","$2,850","$2,850","1,000",$2.85,1986,0,Community,,1-Year,Unfurnished,310-901-1355,"4,982"
25555755,Apartment,2801,2801   Sunset PL #414,Los Angeles,90005,1,1.00 (1 0 0 0),,,,"$2,859","$1,000","$2,859",779,$3.67,2021,0,In Unit,Call,1+Year,Unfurnished,833-525-3273,0
25556135,,245,245   PINE AVE #230,LONG BEACH,90802,1,1.00 (1 0 0 0),,,,"$2,869",$500,"$2,869",662,$4.33,1992,0,In Unit,Call,1+Year,Unfurnished,833-525-3273,"88,438"
OC25140679MR,Condominium,7742,7742   Redlands ST #H1027,PLAYA DEL REY,90293,1,1.00 (1 0 0 0),,$0.00,,"$2,875","$3,000","$2,875",718,$4.00,1971,1,"Community,Laundry Area",,1-Year,Unfurnished,323-698-2555,"176,989"
25554727,Apartment,1366,1366   Riviera Ave ,Venice,90291,1,1.00 (1 0 0 0),,,,"$2,875","$2,875","$2,875",550,$5.23,1908,0,Laundry Area,No,1+Year,Unfurnished,310-405-9192,"2,848"
25555359,Apartment,2217,2217  S Hobart Blvd #4,Los Angeles,90018,3,2.00 (1 0 1 0),,,,"$2,880","$2,900","$2,880","1,250",$2.30,1904,0,None,Call,1+Year,Unfurnished,213-216-4315,"10,704"
TR25129534MR,Condominium,1266,1266   Dimond bar  #D,DIAMOND BAR,91765,2,1.00 (1 0 0 0),,$300.00,100,"$2,890","$2,900","$2,890",840,$3.44,1973,2,"Inside,Laundry Chute,Washer Hookup",,1-Year,,626-523-1697,"164,319"
25554945,,8644,8644   Venice Blvd ,Los Angeles,90034,1,1.00 (1 0 0 0),,,,"$2,895","$2,895","$2,895",0,$0,1970,0,In Unit,Call,1+Year,Unfurnished,310-505-9560,"2,730"
25554497,,620,620  S Gramercy Pl #102,Los Angeles,90005,2,2.00 (2 0 0 0),,,,"$2,895","$2,895","$2,895",948,$3.05,1990,2,"Community,Laundry Area",Call,1+Year,Unfurnished,213-700-7598,"51,555"
25554043,Condominium,1100,1100  S Hope St #1405,Los Angeles,90015,1,1.00 (1 0 0 0),,,,"$2,900","$2,900","$2,900",880,$3.30,2007,1,"In Unit,Inside,Laundry Area,Laundry Closet Stacked",Call,"6 Months,Short Term Lease,12 Months",Unfurnished,213-448-0957,"41,205"
P1-22829PF,Apartment,205,205  N Buena Vista ST #B,BURBANK,91505,2,2.00 (2 0 0 0),,$0.00,,"$2,900","$2,900","$2,900","1,100",$2.64,1978,2,Laundry Area,No,1-Year,Unfurnished,,"6,265"
SR25140671MR,Single Family,44630,44630   Date AVE ,LANCASTER,93534,3,2.00 (2 0 0 0),,$0.00,,"$2,900","$2,900","$2,900","1,060",$2.74,1946,0,"Inside,Room",No,1-Year,Unfurnished,661.466.6991,"7,505"
SR25139430MR,Single Family,18702,18702  W Cohasset  ,RESEDA,91335,2,2.00 (2 0 0 0),,$0.00,,"$2,900","$2,900","$2,900",936,$3.10,2022,0,In Closet,No,"1-Year,Month-to-Month",Unfurnished,818-422-3831,"6,756"
SR25139579MR,Condominium,27979,27979   Sarabande LN #242,CANYON COUNTRY,91387,3,2.00 (2 0 0 0),,$0.00,50,"$2,900","$3,500","$2,900",934,$3.10,1984,2,"Dryer,Dryer Included,Washer,Washer Included",No,1-Year,Unfurnished,818-439-8949,"124,001"
SR25137747MR,Apartment,7143,7143   Bellaire AVE #3,NORTH HOLLYWOOD,91605,3,2.00 (1 0 1 0),,$0.00,,"$2,900","$2,900","$2,900","1,100",$2.64,1959,2,"Community,Laundry Area",,1-Year,Unfurnished,818-231-1735,"6,834"
TR25136946MR,Single Family,2116,2116   Forbes  ,CLAREMONT,91711,3,2.00 (2 0 0 0),,"$1,000.00",100,"$2,900","$3,200","$2,900","1,000",$2.90,2022,0,In Closet,,1-Year,Unfurnished,909-519-1328,"1,500"
SB25138162MR,Apartment,3689,3689  S Victoria Avenue ,LOS ANGELES,90016,2,1.00 (1 0 0 0),,$0.00,,"$2,945","$2,945","$2,945","1,100",$2.68,1949,0,"Dryer,Dryer Included,Washer,Washer Included",,1-Year,Unfurnished,424-440-4055,"6,599"
SR25139554MR,Single Family,44510,44510   21st ST ,LANCASTER,93536,3,2.00 (2 0 0 0),,$500.00,,"$2,950","$2,950","$2,950","1,143",$2.58,1955,0,Inside,,1-Year,Unfurnished,818-522-4481,"7,059"
OC25138417MR,Condominium,5530,5530   Owensmouth  #325,WOODLAND HILLS,91367,2,2.00 (2 0 0 0),,$500.00,25,"$2,950","$2,950","$2,950",900,$3.28,1987,4,"In Closet,Laundry Closet Stacked,Stackable W/D Hookup",,1-Year,Unfurnished,951-460-8044,0
CV25137153MR,Single Family,638,638  W Glen Lyn DR #B,GLENDORA,91740,2,1.00 (0 1 0 0),,$500.00,,"$2,950","$2,950","$2,950",720,$4.10,2025,2,"Inside,Laundry Closet Stacked,Stackable W/D Hookup",,1-Year,Unfurnished,626-216-8067,"9,069"
25554317,Apartment,1143,1143   Glenville Dr #302,Los Angeles,90035,1,1.00 (1 0 0 0),,,,"$2,950","$2,950","$2,950",500,$5.90,2021,1,In Unit,Call,1+Year,Unfurnished,310-666-4923,"6,064"
25554361,,6220,6220   La Tijera Blvd ,Los Angeles,90056,2,1.00 (1 0 0 0),,$0.00,25,"$2,950","$2,950","$2,950","2,386",$1.24,1952,0,"Inside,Room",No,1+Year,Unfurnished,310-261-8163,"5,787"
25554869,,850,850   Wilcox  #101,Los Angeles,90038,1,1.00 (1 0 0 0),,,,"$2,950","$4,195","$2,950",850,$3.47,,0,In Unit,Yes,1-Year,Unfurnished,310-473-3000,"20,000"
25555515,Condominium,1112,1112  N Olive Dr #8,West Hollywood,90069,2,2.00 (2 0 0 0),,,,"$2,950","$2,950","$2,950",763,$3.87,1972,1,Community,Call,1+Year,Unfurnished,310-433-0056,"6,004"
25555761,Apartment,2801,2801   Sunset PL #601,Los Angeles,90005,1,1.00 (1 0 0 0),,,,"$2,984","$1,000","$2,984",876,$3.41,2021,0,In Unit,Call,1+Year,Unfurnished,833-525-3273,0
25554433,,12219,12219   Ocean Park Blvd #12219,Los Angeles,90064,2,1.00 (1 0 0 0),,,,"$2,995","$2,995","$2,995","1,000",$3.00,,1,In Unit,Yes,"Negotiable,1+Year",Unfurnished,424-352-1555,"1,000"
SR25140748MR,Single Family,2743,2743  E Avenue S12  ,PALMDALE,93550,3,2.00 (2 0 0 0),,$200.00,,"$2,995","$2,950","$2,995","1,888",$1.59,2004,2,Room,,1-Year,Unfurnished,310-804-3450,"6,423"
SR25137447MR,Single Family,42722,42722   55th ST ,LANCASTER,93536,4,2.00 (2 0 0 0),,$500.00,,"$2,995","$3,135","$2,995","1,656",$1.81,1969,2,Laundry Area,,"1+Year,1-Year",Unfurnished,661-350-4012,"11,544"
PW25140582MR,Townhouse,11764,11764   206th ST #22,LAKEWOOD,90715,2,2.00 (1 0 1 0),,$0.00,,"$2,995","$2,995","$2,995",982,$3.05,1986,2,Other,No,Month-to-Month,Unfurnished,,"51,412"
SB25140763MR,Condominium,22234,22234  S Vermont AVE #203B,TORRANCE,90502,2,2.00 (2 0 0 0),,$0.00,200,"$3,000","$3,000","$3,000",961,$3.12,1985,4,"Dryer,Dryer Included,Washer,Washer Included",No,1-Year,Unfurnished,310-408-0206,"181,676"
PW25140704MR,Condominium,375,375   Atlantic AVE #702,LONG BEACH,90802,2,2.00 (2 0 0 0),,$0.00,,"$3,000","$3,000","$3,000","1,059",$2.83,1969,1,None,No,1-Year,Unfurnished,562-481-7386,"10,997"
PW25139787MR,Condominium,1100,1100   Wilshire BLVD #3005,LOS ANGELES,90017,1,1.00 (1 0 0 0),,$0.00,250,"$3,000","$3,000","$3,000",800,$3.75,1986,2,"Dryer,Dryer Included,In Closet,Inside,Washer,Washer Included",No,1-Year,Unfurnished,714-599-0675,
PV25135986MR,Condominium,6542,6542   Ocean Crest DR #C104,RANCHO PALOS VERDES,90275,1,1.00 (1 0 0 0),,$0.00,100,"$3,000","$3,000","$3,000",892,$3.36,1973,1,Community,No,1-Year,Furnished,310-704-1561,"167,202"
SR25136358MR,Single Family,43745,43745   Nicole ST ,LANCASTER,93535,3,3.00 (3 0 0 0),,$0.00,,"$3,000","$3,000","$3,000","1,907",$1.57,1990,1,"Inside,Washer,Washer Hookup,Washer Included",No,"1+Year,1-Year,Month-to-Month",,818-426-7154,"6,629"
SR25139040MR,Single Family,17440,17440   Tiara ST ,ENCINO,91316,2,1.00 (1 0 0 0),,$500.00,,"$3,000","$3,000","$3,000",997,$3.01,1949,0,None,,1-Year,Unfurnished,818-523-5455,"5,612"
SR25140560MR,Single Family,38502,38502   Lemsford AVE ,PALMDALE,93550,4,2.00 (2 0 0 0),,$0.00,,"$3,000","$3,000","$3,000","1,931",$1.55,1957,0,Inside,,1-Year,Unfurnished,818-522-4481,"8,822"
TR25121614MR,Condominium,2626,2626  S Quarry LN #C,DIAMOND BAR,91789,2,2.00 (2 0 0 0),,$0.00,250,"$3,000","$3,000","$3,000",999,$3.00,1987,2,Garage,No,1-Year,Unfurnished,909-610-5264,"199,332"
TR25139758MR,Townhouse,228,228  W Center ST #2,COVINA,91723,3,2.00 (2 0 0 0),,$0.00,,"$3,000","$3,000","$3,000","1,300",$2.31,2009,2,Garage,No,1-Year,Unfurnished,626-780-5559,"20,591"
WS25139544MR,Townhouse,23620,23620   Monument Canyon DR #A,DIAMOND BAR,91765,3,3.00 (2 0 1 0),,$0.00,,"$3,000","$3,000","$3,000","1,409",$2.13,1979,2,Inside,,1-Year,Unfurnished,310-905-5999,"461,588"
25554019,,5565,5565   Canoga Ave #118,Woodland Hills,91367,2,2.00 (2 0 0 0),,$500.00,,"$3,000","$4,000","$3,000",920,$3.26,1987,2,"In Unit,Laundry Area,Laundry Closet Stacked",Yes,1+Year,Unfurnished,661-964-9855,"44,745"
25553865,Single Family,8640,8640 1/2  Baring Cross St ,Los Angeles,90044,2,3.00 (3 0 0 0),,,,"$3,000","$3,000","$3,000","1,080",$2.78,2024,2,In Unit,No,"1+Year,1-Year",Unfurnished,310-590-9808,"6,007"
225003124VC,Condominium,20000,20000   Plum Canyon RD #1721,SAUGUS,91350,2,2.00 (2 0 0 0),,,,"$3,000","$3,000","$3,000","1,001",$3.00,2001,2,,Yes,,Unfurnished,,"79,480"
24-352140,Apartment,1213,1213  S Ogden Dr ,Los Angeles,90019,2,1.00 (1 0 0 0),,,,"$3,000","$3,000","$3,000","1,350",$2.22,1948,1,In Unit,Call,12 Months,Unfurnished,310-820-1343,"7,069"
25555209,,2311,2311   4th St #220,Santa Monica,90405,1,1.00 (1 0 0 0),,,,"$3,000","$3,000","$3,000",673,$4.46,1967,1,"Community,Room",No,1+Year,Unfurnished,310-795-8267,"41,684"
