Listing ID (MLS#),Sub Type,St#,St Name,City,PostalCode,Br/Ba,L/C Price,Price Per Square Foot,Sqft,YrBuilt,Garage Spaces,PetsAllowed,List Office Phone,Terms
22161981,CONDO,5347,FOUNTAIN AVE   #1,Los Angeles,90029,"2/2,0,0,0","$3,500",$5.53,633/,1920,,No,213-703-6486,12M
22161329,CONDO,6253,HOLLYWOOD BLVD   #305,Los Angeles,90028,"1/1,0,1,0","$3,500",$2.93,1195/,1929/ASR,,Call,323-593-6999,12M
TR22113209,SFR/D,1418,Stardust DR  ,Diamond Bar,91765,"3/2,0,1,0","$3,580",$2.04,1759/A,1985/ASR,2,No,626-322-2900,12M
TR22113231,TWNHS/D,21065,Blossom WAY  ,,Assessor,"4/3,0,0,0","$3,600",$1.77,2035/B,2015/ASR,2,,626-965-7788,12M
22161107,SFR,2950,HAVEN ST  ,Los Angeles,90032,"4/2,0,0,0","$3,600",$2.66,1352/,1960,,Yes,310-230-5478,12M
WS22078136,SFR/D,2217 W,Doublegrove ST  ,West Covina,91790,"5/3,0,0,0","$3,600",$1.29,2790/A,1958/ASR,2,No,626-662-8791,12M
IN22112870,APT/A,8001,Blackburn AVE  ,Los Angeles,90048,"2/1,0,0,0","$3,600",$2.57,1400/E,1920/EST,1,"Call, Cats OK, Dogs OK",949-548-7300,12M
SR22112522,CONDO/A,12042,Hart ST   #3,North Hollywood,91605,"3/2,0,1,0","$3,600",$2.48,1450/A,2009/ASR,2,Cats OK,818-999-2030,12M
SR22112862,SFR/D,10662,Haddon AVE  ,Pacoima,91331,"3/3,0,0,0","$3,600",$3.14,1148/A,1946/ASR,0,"Breed Restrictions, Number Limit, Size Limit",818-501-4800,12M
TR22112552,SFR/D,3251 E,Springcreek RD  ,West Covina,91791,"4/3,0,0,0","$3,700",$1.64,2250/A,2003/PUB,2,No,909-861-9835,12M
CV22114651,SFR/D,1225 S,Bluff RD  ,Montebello,90640,"4/2,0,0,0","$3,700",$1.81,2046/A,1950/ASR,2,Breed Restrictions,626-915-8031,12M
GD22110524,TWNHS/A,9402,Via Monique   ,Burbank,91504,"2/3,0,0,0","$3,750",$3.01,1244/A,1978/ASR,2,Call,818-241-7100,NG
22161295,CONDO,7135,HOLLYWOOD BLVD   #606,Los Angeles,90046,"2/2,0,0,0","$3,750",$3.27,1148/A,1965/ASR,,Call,310-205-0305,12M
22156449,CONDO,11975,TEXAS AVE   #203,Los Angeles,90025,"2/2,0,0,0","$3,750",$3.12,1200/,1987,,Call,310-724-7100,12M
CV22101608,SFR/D,460 W,10th ST  ,Claremont,91711,"4/2,0,0,0","$3,800",$2.20,1729/A,1927/ASR,2,No,909-621-3944,12M
SB22114608,SFR/D,2058 W,181st ST  ,Torrance,90504,"4/1,1,0,0","$3,800",$2.35,1619/A,1961/ASR,2,"Call, No",310-378-9889,12M
SR22113450,SFR/D,7412,Penfield   ,Winnetka,91306,"3/3,0,0,0","$3,800",$3.17,1200/A,2022/EST,0,No,818-993-7370,12M
SR22098256,TWNHS/A,5816,Etiwanda AVE   #2,Tarzana,91356,"3/2,0,1,0","$3,850",$2.05,1878/A,1980/ASR,3,Call,844-488-6678,12M
PW22111845,SFR/D,25331,Bayside PL  ,Harbor City,90710,"4/2,0,1,0","$3,860",$2.41,1603/E,1982/EST,2,Breed Restrictions,949-280-7109,12M
22161827,SFR,1201 S,Hope ST   #700,Los Angeles,90015,"2/2,0,0,0","$3,886",$3.95,984/A,,,Yes,424-203-1800,12M
SB22112898,DPLX/D,14807,FREEMAN AVE   ,Lawndale,90260,"4/2,0,0,0","$3,900",$2.89,1350/E,1960/EST,2,No,310-676-8600,12M
WS22112116,CONDO/A,168 S,Sierra Madre BLVD   #206,Pasadena,91107,"3/2,0,0,0","$3,900",$2.95,1320/A,2018/ASR,2,Breed Restrictions,818-889-9000,12M
SR22107846,TWNHS/A,1101 N,Maclay AVE   #5,San Fernando,91340,"2/3,0,1,0","$3,900",$2.25,1730/O,2020/ASR,2,"Cats OK, Dogs OK, Yes",818-781-5006,12M
22161167,CONDO,12431,Rochester AVE   #406,Los Angeles,90025,"1/1,0,0,0","$3,900",$5.49,710/,2020/BLD,,Yes,310-962-5000,12M
22162009,CONDO,1360 S,BEVERLY GLEN BLVD   #201,Los Angeles,90024,"2/2,0,1,0","$3,950",$2.39,1650/,1982,,Call,310-820-0195,12M
22160813,CONDO,626 N,Azusa AVE   #452,Azusa,91702,"2/2,0,0,0","$3,955",$2.86,1381/,2022/BLD,,Yes,310-461-0400,12M
SR22114295,SFR/D,10900,Baird AVE  ,Porter Ranch,91326,"3/2,0,0,0","$3,970",$3.31,1200/A,2022/BLD,1,"Call, Number Limit, Size Limit",818-993-1300,12M
22160413,CONDO,10475,ASHTON AVE   #201,Los Angeles,90024,"2/2,0,1,0","$3,980",$2.68,1484/,1987,,Call,310-271-8068,12M
22160819,CONDO,626 N,Azusa AVE   #437,Azusa,91702,"3/2,0,0,0","$3,995",$2.84,1408/,2022/BLD,,Yes,310-461-0400,12M
22160817,CONDO,626 N,Azusa AVE   #306,Azusa,91702,"3/2,0,0,0","$3,995",$2.82,1415/,2022/BLD,,Yes,310-461-0400,12M
GD22111463,SFR/D,1013,Rosewood AVE  ,Inglewood,90301,"3/2,0,0,0","$3,995",$2.79,1431/A,1929/PUB,0,Breed Restrictions,818-533-1103,12M
22160626,CONDO,6468,CAVALLERI RD  ,Malibu,90265,"2/2,0,0,0","$3,995",$3.78,1056/,1975,,Call,,12M
SR22111643,SFR/D,22261,Hartland ST  ,Canoga Park,91303,"4/1,1,0,0","$3,995",$2.01,1983/A,1960/PUB,0,No,855-732-5500,12M
22162125,SFR,6648,BALCOM AVE  ,Reseda,91335,"3/2,0,0,0","$3,995",$2.93,1363/,1949,,Yes,818-989-2000,12M
22160615,CONDO,10535,WILSHIRE BLVD   #1001,Los Angeles,90024,"2/2,1,0,0","$3,999",$3.73,1071/,1978,,Call,310-877-1237,12M
SR22112928,SFR/D,14154,Cantlay ST  ,Van Nuys,91405,"4/2,0,0,0","$4,000",$2.33,1719/A,1953/ASR,2,"Call, Number Limit, Yes",562-860-2443,12M
SR22098772,SFR/D,22610,Collins ST  ,Woodland Hills,91367,"2/2,0,0,0","$4,000",$2.46,1625/E,1955/ASR,2,No,818-986-7300,12M
SB22110809,SFR/D,1414 W,180th ST  ,Gardena,90248,"3/1,1,0,0","$4,000",$2.70,1484/A,1962/ASR,2,"Call, No",310-891-0007,12M
22161111,SFR,1628 N,BEVERLY GLEN BLVD  ,Los Angeles,90077,"2/2,0,0,0","$4,000",$2.71,1476/,1918,,Yes,310-367-9946,12M
22160560,CONDO,3150,WILSHIRE    #PH19,Los Angeles,90010,"2/2,0,0,0","$4,070",$4.23,963/,2014,,"Call, Breed Restrictions, Size Limit",323-300-1000,12M
TR22113027,SFR/D,1323,Misty CT  ,Diamond Bar,91765,"3/3,0,0,0","$4,100",$2.18,1884/A,1985/ASR,3,"Number Limit, Size Limit",626-964-8999,12M
WS22111507,TWNHS/D,147 N,Sierra Bonita AVE  ,Pasadena,91106,"4/3,0,0,0","$4,100",$2.28,1800/O,2003/ASR,2,Call,626-285-8333,12M
22160877,CONDO,415 S,LE DOUX RD   #302,Los Angeles,90048,"2/2,0,0,0","$4,190",,/,2019/EST,,Yes,310-988-8923,12M
IV22114205,SFR/D,21650,Brookside CT  ,Walnut,91789,"4/3,0,0,0","$4,200",$1.69,2481/A,1985/ASR,3,No,909-373-4400,12M
P1-9717,TPLX/A,304 E,Orange Grove BLVD   #1,Pasadena,91104,"5/3,0,0,1","$4,200",$2.10,2000/S,1890/ASR,0,Cats OK,(626) 644-7313,12M
DW22111528,DPLX/A,4653,Gleason ST   #B,East Los Angeles,90022,"4/2,0,0,0","$4,200",$2.33,1800/SEE,2022/SEE,1,Breed Restrictions,562-231-3333,12M
GD22110090,SFR/D,8034,Van Noord AVE  ,North Hollywood,91605,"4/2,0,0,0","$4,200",$2.44,1722/P,1954/ASR,2,No,818-241-3000,12M
SR22112545,SFR/D,8014,Andasol AVE  ,Northridge,91325,"3/2,0,0,0","$4,200",$1.97,2127/P,2018/PUB,2,No,818-476-3000,12M
PW22113262,CONDO/A,411 W,Seaside WAY   #1504,Long Beach,90802,"2/2,0,0,0","$4,250",$3.01,1410/A,2007/ASR,2,Call,562-594-9447,12M
22160741,CONDO,450,SAN VICENTE BLVD   #204,Santa Monica,,"2/2,0,0,0","$4,250",$3.30,1289/OTH,1980,,Yes,213-393-1350,12M
SR22111545,SFR/D,9131,Rubio AVE  ,North Hills,,"4/1,1,0,0","$4,250",$2.36,1802/A,1961/ASR,2,Breed Restrictions,818-882-5144,12M
22160801,CONDO,22041,PACIFIC COAST HWY   #3,Malibu,90265,"2/2,0,0,0","$4,295",$4.67,920/E,1963,,Yes,310-457-6550,12M
22161685,CONDO,8701 S,VAN NESS AVE  ,Inglewood,90305,"3/2,0,0,0","$4,300",$2.69,1600/,1941/ASR,,No,310-216-9077,12M
SB22111343,TWNHS/A,5565,Ocean    #104,Hawthorne,90250,"2/2,0,1,0","$4,350",$3.18,1367/B,2010/PUB,2,Call,424-281-7603,12M
SR22110521,SFR/D,18247,Kinzie ST  ,Northridge,91325,"4/2,0,1,0","$4,395",$1.63,2700/O,1957/ASR,2,"Breed Restrictions, Cats OK, Dogs OK",818-998-0546,12M
22161651,CONDO,11824,MOORPARK ST   #E,Studio City,91604,"2/3,0,0,0","$4,400",$2.92,1506/,1974,2,Call,818-990-8700,12M
22160511,APT,525 N,Wilton PL   #421,Los Angeles,90004,"2/2,0,0,0","$4,410",$3.75,1175/,2020,,Call,323-300-1000,12M
SR22112508,SFR/A,5739,Cahill AVE  ,Tarzana,91356,"3/2,0,0,0","$4,450",$2.71,1640/A,1954/OTH,0,Call,818-914-5803,NG
WS22109203,CONDO/A,889,Francisco St   ,Los Angeles,90017,"1/2,0,0,0","$4,500",$4.27,1053/B,2017/BLD,1,No,626-872-2207,12M
22159659,CONDO,5500,TORRANCE BLVD   #A100,Torrance,90503,"3/2,0,0,0","$4,500",$3.52,1279/,1990,,Call,310-829-0629,12M
22160831,SFR,4807,TOWERS ST  ,Torrance,90503,"3/2,0,0,0","$4,500",$2.80,1610/,1954,,Call,,12M
22161151,SFR,1301 1/2,23rd street   ,Los Angeles,90266,"1/1,0,0,0","$4,500",,/,,,Call,310-600-2436,12M
P1-9705,SFR/D,872,Calle Canta   ,Glendale,91208,"4/2,0,1,0","$4,500",$2.62,1720/P,1993,2,No,(818) 763-5162,12M
SR22110198,CONDO/A,1230,Horn AVE   #100,West Hollywood,90069,"2/2,0,0,0","$4,500",$3.55,1266/A,1974/ASR,2,"Cats OK, Dogs OK",424-230-3700,12M
OC22110898,SFR/D,9737,Shoup AVE  ,Chatsworth,91311,"3/2,0,0,0","$4,500",$2.67,1688/A,1951/ASR,1,Call,949-783-2400,12M
SR22114598,SFR/D,10119,Lasaine AVE  ,Northridge,91325,"4/3,0,0,0","$4,500",$2.30,1954/A,1962/ASR,2,"Breed Restrictions, Call",818-491-4500,24M
PW22107228,SFR/A,19278,Blackthorn DR  ,Saugus,91351,"4/3,1,0,0","$4,500",$1.82,2473/B,2021/BLD,2,Call,562-809-1331,12M
22161815,SFR,6241,CANBY AVE  ,Tarzana,91335,"3/1,1,1,0","$4,500",$2.61,1724/,1950,,Yes,310-482-2500,12M
22156433,CONDO,11975,TEXAS AVE   #301,Los Angeles,90025,"2/2,0,1,0","$4,500",$3.10,1450/,1987,,Call,310-724-7100,12M
CV22109433,CONDO/D,12003,Fairmont CT  ,Hawthorne,90250,"4/3,0,0,0","$4,600",$2.08,2209/A,2014/ASR,2,Call,562-233-4041,NG
SB22114806,SFR/D,517,Blossom LN  ,Redondo Beach,90278,"3/1,0,0,0","$4,600",$3.75,1228/E,1955/ASR,2,"Breed Restrictions, Number Limit, Size Limit",310-378-7747,12M
22160659,SFR,8838,HORNER ST  ,Los Angeles,90035,"3/1,0,0,0","$4,600",$3.76,1224/,1924,,Yes,310-230-5478,12M
22140051,CONDO,4180,WILSHIRE BLVD   #301,Los Angeles,90010,"3/3,0,0,0","$4,600",$2.61,1760/,2015,,Call,310-777-6200,12M
222002495,SFR/D,30608,Lakefront DR  ,Agoura Hills,91301,"4/3,0,0,0","$4,650",$2.75,1688/P,1975/ASR,2,Yes,,12M
SR22114210,TWNHS/A,5229,Balboa BLVD   #7,Encino,91316,"3/3,0,0,0","$4,700",$2.73,1722/A,1965/PUB,2,Call,818-704-5364,12M
22160237,SFR,2278 W,29Th ST  ,Los Angeles,90018,"3/1,1,0,0","$4,725",$3.21,1473/,1908,,Yes,310-481-6262,12M
P1-9707,SFR/D,2557,Ivanhoe DR  ,Los Angeles,90039,"2/1,0,1,0","$4,750",$3.10,1532/A,1932/ASR,1,"Size Limit, Yes",(626) 584-0050,12M
22161205,CONDO,130 S,Hewitt street   ,Los Angeles,90021,"1/2,0,0,0","$4,750",,/,,,Call,310-600-2436,12M
22160497,APT,525 N,Wilton PL   #202,Los Angeles,90004,"2/2,0,0,0","$4,750",$3.69,1286/,2020,,Call,323-300-1000,12M
SR22112936,SFR/D,5204,Etiwanda AVE  ,Tarzana,91356,"4/3,0,0,0","$4,795",$2.69,1783/A,1950/ASR,0,Call,818-986-7300,12M
SB22099182,TWNHS/A,2121,Gates AVE   #A,Redondo Beach,90278,"3/2,0,1,0","$4,800",$2.19,2189/A,1985/ASR,2,No,310-543-3536,12M
22161577,CONDO,944,PALM AVE   #2,West Hollywood,90069,"2/2,0,1,0","$4,800",$3.51,1366/,1979,,Yes,310-230-5478,12M
SB22111421,SFR/D,12714,Short AVE  ,Los Angeles,90066,"2/1,0,0,0","$4,800",$6.47,742/A,1952/ASR,1,Call,310 802-5700,12M
SR22114751,SFR/D,24525,Via Esquina   ,Calabasas,91302,"3/3,0,0,0","$4,850",$2.50,1943/A,1989/APP,2,Call,818-222-7707,12M
22160515,APT,525 N,Wilton PL   #424,Los Angeles,90004,"2/2,0,0,0","$4,895",$4.07,1203/,2020,,Call,323-300-1000,12M
SB22112860,SFR/D,28602 N,Enrose AVE  ,Rancho Palos Verdes,90275,"3/2,0,1,0","$4,900",$2.70,1814/A,1957/ASR,2,Call,310-519-1080,12M
SB22114004,TWNHS/A,311 N,Almont DR  ,Beverly Hills,90211,"2/3,0,0,0","$4,900",$2.55,1920/A,1993/ASR,2,Call,310-780-4422,12M
22161301,CONDO,1148 N,Detroit ST   #2A,West Hollywood,90046,"2/2,0,0,0","$4,900",$3.77,1300/,2018/ASR,2,Yes,310-777-6200,12M
SR22114353,SFR/D,23119,Gainford ST  ,Woodland Hills,91364,"3/2,0,0,0","$4,900",$2.45,2003/A,1957/ASR,2,Yes,818-835-4414,12M
22161183,CONDO,3833,Dunn    #PH2,Culver City,90232,"2/2,0,0,0","$4,950",$5.12,967/,2019/BLD,,Yes,310-962-5000,12M
SR22111328,SFR/D,25302,Keats LN  ,Stevenson Ranch,91381,"4/3,0,0,0","$4,950",$1.91,2591/A,1989/PUB,3,Size Limit,661-964-0600,12M
22160419,CONDO,1745,CAMINO PALMERO ST   #524,Los Angeles,90046,"3/2,0,0,0","$4,995",$3.39,1475/,1973,,Yes,424-230-3700,12M
22162051,CONDO,2073,VINE ST  ,Los Angeles,90068,"2/1,0,0,0","$4,995",$5.00,1000/E,1948,,Call,323-275-9273,12M
22160623,SFR,5652,NOBLE AVE  ,Sherman Oaks,91411,"3/2,0,0,0","$4,999",$3.95,1266/,1950,,Call,626-803-2000,12M
GD22112434,SFR/D,511 S,Sunset Canyon DR  ,Burbank,91501,"3/2,0,0,0","$5,000",$3.33,1500/O,1924/PUB,0,"Number Limit, Size Limit",818-476-3000,12M
TR22114827,SFR/D,22946,Rio Lobos RD  ,Diamond Bar,91765,"4/3,0,0,0","$5,000",$2.39,2089/A,1986/ASR,2,Call,626-363-0330,12M
22157905,CONDO,11847,GORHAM AVE   #311,Los Angeles,90049,"2/1,1,0,0","$5,000",$3.45,1449/,2002,,Call,310-271-2229,12M
SR22113642,SFR/D,6429,Rhodes AVE  ,Valley Glen,91606,"3/2,0,0,0","$5,000",$3.15,1588/A,1944/ASR,2,Call,818-342-2424,12M
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Feeling Generous and appreciative?  Donations accepted via:,,,,,,,,,,,
,,,,Venmo: jesse@reajlb.com,,,,,,,,,,
,,,,Cashapp: $REAJLB,,,,,,,,,,
,,,,Zelle : jesse@reajlb.com,,,,,,,,,,
,,,,,,,,,,,,,,
,,,“Sq Footage Abbreviations”,,,,,,,,,,,
,,,A -- Appraiser or Assesor,,,,,,,,,,,
,,,B -- Builder,,,,,,,,,,,
,,,E -- Estimated,,,,,,,,,,,
,,,"O -- Owner (or OTH which is ""other"" just means some undefined document that claims the sq footage)",,,,,,,,,,,
,,,P - Public Record,,,,,,,,,,,
,,,S -- Seller,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,"""Sub Type""",,,,,,,,,,,
,,,A = ,Attached,,,,,,,,,,
,,,D = ,Detached,,,,,,,,,,
,,,,,,,,,,,,,,
,,,“Beds/Baths”,,,,,,,,,,,
,,,"2 (beds) / 1 (total baths),1 (full baths) ,0 (half bath), 0 (three quarter bath)",,,,,,,,,,,
,,,,,,,,,,,,,,
,,,“Terms”,,,,,,,,,,,
,,,12M = ,1 Year,,,,,,,,,,
,,,MO = ,Monthly,,,,,,,,,,
,,,STL = ,Short Term,,,,,,,,,,
,,,NG = ,Negotiable,,,,,,,,,,
